Decade,Total number of faces,% of pages with faces
1820,0,0.0
1830,1,1.8518518518518516
1840,1,2.0
1850,2,4.166666666666666
1860,4,6.25
1870,5,4.3478260869565215
1880,6,10.0
1890,1,1.9230769230769231
1900,11,16.666666666666664
1910,6,8.0
1920,21,10.0
1930,32,19.230769230769234
1940,13,10.869565217391305
1950,49,25.0
1960,44,18.67469879518072
1970,48,22.043010752688172
1980,144,34.967320261437905
1990,190,29.009433962264154
