Decade,Total number of faces,% of pages with faces
1880,1,2.941176470588235
1890,17,23.076923076923077
1900,25,25.0
1910,27,32.69230769230769
1920,46,45.3125
1930,31,35.18518518518518
1940,24,28.57142857142857
1950,105,50.0
1960,175,41.66666666666667
1970,202,41.0
1980,343,50.476190476190474
1990,218,48.01980198019802
2000,657,70.83333333333334
2010,699,77.6595744680851
